family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
knapsack,uncorrelated,30,2,penalty,mbpso,30,300000,-12472,0.4194,0.55144,0.004676,-12418,165433
knapsack,uncorrelated,30,2,penalty,bde,30,300000,-12472,0.2258,0.3206,0.013227,-12290,96180
knapsack,uncorrelated,30,2,penalty,mbde,30,300000,-12472,0.1613,0.00839,0.014831,-12271,2517
knapsack,uncorrelated,50,0,penalty,ga,50,500000,-18961,0.7097,0.28194,4.6e-05,-18961,140970.0
knapsack,uncorrelated,50,0,penalty,floor,50,500000,-18961,0.0,inf,0.030145,-18422,
knapsack,uncorrelated,50,0,penalty,bpso,50,500000,-18961,0.3871,0.34131,0.000558,-18958,170655.0
knapsack,uncorrelated,50,0,penalty,ils,50,500000,-18961,0.0323,0.27788,0.001973,-18940,138942
knapsack,uncorrelated,50,0,penalty,mga,50,500000,-18961,0.3226,0.1935,0.00026,-18958,96748.0
knapsack,uncorrelated,50,0,penalty,mbpso,50,500000,-18961,0.0323,0.96116,0.0044,-18938,480582
knapsack,uncorrelated,50,1,penalty,floor,50,500000,-21287,0.0,inf,0.041369,-20392,
knapsack,uncorrelated,50,0,penalty,mbde,50,500000,-18961,0.0,inf,0.010391,-18787,
knapsack,uncorrelated,50,0,penalty,bde,50,500000,-18961,0.0,inf,0.006167,-18886,
knapsack,uncorrelated,50,1,penalty,ils,50,500000,-21287,0.1613,0.85167,0.002285,-21274,425835
knapsack,uncorrelated,50,1,penalty,ga,50,500000,-21287,0.7097,0.08151,0.000177,-21287,40755.0
knapsack,uncorrelated,50,1,penalty,mga,50,500000,-21287,0.6129,0.12485,0.000236,-21287,62427
knapsack,uncorrelated,50,1,penalty,bpso,50,500000,-21287,0.2903,0.34098,0.001987,-21274,170490
knapsack,uncorrelated,50,1,penalty,mbpso,50,500000,-21287,0.0323,0.97978,0.008295,-21081,489892
knapsack,uncorrelated,50,1,penalty,bde,50,500000,-21287,0.0323,0.15588,0.007453,-21156,77940
knapsack,uncorrelated,50,1,penalty,mbde,50,500000,-21287,0.0645,0.20823,0.010811,-21089,104113.0
knapsack,uncorrelated,50,2,penalty,floor,50,500000,-18831,0.0,inf,0.042978,-18008,
knapsack,uncorrelated,50,2,penalty,ga,50,500000,-18831,1.0,0.096,0.0,-18831,48000
knapsack,uncorrelated,50,2,penalty,mga,50,500000,-18831,0.9677,0.21876,3.8e-05,-18831,109378.0
knapsack,uncorrelated,50,2,penalty,bpso,50,500000,-18831,0.5806,0.34032,0.002068,-18831,170160.0
knapsack,uncorrelated,50,2,penalty,mbpso,50,500000,-18831,0.0323,0.87714,0.012998,-18584,438568
knapsack,uncorrelated,50,2,penalty,ils,50,500000,-18831,0.0,inf,0.005122,-18720,
knapsack,uncorrelated,50,2,penalty,bde,50,500000,-18831,0.0323,0.003,0.010756,-18641,1500
knapsack,uncorrelated,50,2,penalty,mbde,50,500000,-18831,0.0,inf,0.016841,-18584,
knapsack,uncorrelated,80,0,penalty,floor,80,800000,-35386,0.0,inf,0.084205,-32496,
knapsack,uncorrelated,80,0,penalty,ils,80,800000,-35386,0.0,inf,0.003876,-35252,
knapsack,uncorrelated,80,0,penalty,mga,80,800000,-35386,0.0323,0.48145,0.000692,-35367,385158
knapsack,uncorrelated,80,0,penalty,ga,80,800000,-35386,0.0968,0.13373,0.000365,-35376,106980
knapsack,uncorrelated,80,0,penalty,bpso,80,800000,-35386,0.0968,0.3141,0.001538,-35353,251280
knapsack,uncorrelated,80,0,penalty,mbpso,80,800000,-35386,0.0,inf,0.009639,-35051,
knapsack,uncorrelated,80,0,penalty,bde,80,800000,-35386,0.0,inf,0.004054,-35251,
knapsack,uncorrelated,80,1,penalty,floor,80,800000,-32981,0.0,inf,0.096145,-29850,
knapsack,uncorrelated,80,1,penalty,ga,80,800000,-32981,1.0,0.04211,0.0,-32981,33690
knapsack,uncorrelated,80,0,penalty,mbde,80,800000,-35386,0.0,inf,0.008594,-35137,
knapsack,uncorrelated,80,1,penalty,ils,80,800000,-32981,0.3548,0.58875,0.002836,-32850,470997
knapsack,uncorrelated,80,1,penalty,mga,80,800000,-32981,1.0,0.17519,0.0,-32981,140152
